DateTime,UTC,Open,High,Low,Close,Volume(from bar),
12-12-2025 14:55:00,+05:30,25868,25868.25,25849.25,25849.25,35,
12-12-2025 15:00:00,+05:30,25849.25,25855,25833,25841,58,
12-12-2025 15:05:00,+05:30,25844.5,25849.5,25831.25,25831.25,36,
12-12-2025 15:10:00,+05:30,25832.25,25838.75,25824.5,25830,33,
12-12-2025 15:15:00,+05:30,25828.5,25843.25,25820.75,25843.25,9,
12-12-2025 15:20:00,+05:30,25845,25852,25831.75,25832.5,29,
12-12-2025 15:25:00,+05:30,25838.25,25846.75,25838.25,25845.25,9,
12-12-2025 15:30:00,+05:30,25847,25848.5,25841.75,25846.5,17,
12-12-2025 15:35:00,+05:30,25847.5,25854.5,25847.5,25853.75,17,
12-12-2025 15:40:00,+05:30,25858.5,25879.5,25858.5,25877.5,79,
12-12-2025 15:45:00,+05:30,25871.5,25871.5,25853.5,25856,30,
12-12-2025 15:50:00,+05:30,25853.5,25862,25853.5,25855,11,
12-12-2025 15:55:00,+05:30,25852.25,25852.25,25834,25842.5,58,
12-12-2025 16:00:00,+05:30,25845.25,25848.25,25838.25,25840.5,56,
12-12-2025 16:05:00,+05:30,25839.75,25840.25,25824.25,25829.75,56,
12-12-2025 16:10:00,+05:30,25827.5,25844.75,25827,25844.75,27,
12-12-2025 16:15:00,+05:30,25844.5,25850.5,25840.5,25845,49,
12-12-2025 16:20:00,+05:30,25848.25,25852,25846.25,25846.5,17,
12-12-2025 16:25:00,+05:30,25847.25,25852.25,25841.75,25843.25,33,
12-12-2025 16:30:00,+05:30,25843,25844.25,25836.5,25838.5,35,
12-12-2025 16:35:00,+05:30,25837.5,25837.5,25824.25,25831.25,34,
12-12-2025 16:40:00,+05:30,25829.25,25834.5,25829,25834.5,14,
12-12-2025 16:45:00,+05:30,25841,25845.25,25839.25,25845.25,18,
12-12-2025 16:50:00,+05:30,25842.25,25843,25834.75,25834.75,8,
12-12-2025 16:55:00,+05:30,25836.25,25839.5,25830,25830.25,28,
12-12-2025 17:00:00,+05:30,25832.25,25839.25,25830.25,25830.25,19,
12-12-2025 17:05:00,+05:30,25831.5,25831.5,25802.75,25804.25,44,
12-12-2025 17:10:00,+05:30,25804,25824,25804,25818.75,55,
12-12-2025 17:15:00,+05:30,25820.5,25820.5,25794.25,25796.25,51,
12-12-2025 17:20:00,+05:30,25798.25,25806.25,25793.75,25802.25,52,
12-12-2025 17:25:00,+05:30,25803,25814,25801.5,25808.75,28,
12-12-2025 17:30:00,+05:30,25813.75,25815.5,25799.25,25806.5,40,
12-12-2025 17:35:00,+05:30,25805.75,25820.75,25803.5,25820.75,12,
12-12-2025 17:40:00,+05:30,25824.5,25831.5,25823.75,25830.75,38,
12-12-2025 17:45:00,+05:30,25826.25,25833.25,25824.75,25830.5,15,
12-12-2025 17:50:00,+05:30,25830.5,25834.5,25822.5,25834.5,35,
12-12-2025 17:55:00,+05:30,25834.5,25842.25,25832.75,25837.5,25,
12-12-2025 18:00:00,+05:30,25833.5,25836,25828.25,25834.25,28,
12-12-2025 18:05:00,+05:30,25832.5,25832.5,25825.25,25827.5,43,
12-12-2025 18:10:00,+05:30,25827,25828.75,25817.75,25817.75,41,
12-12-2025 18:15:00,+05:30,25815.25,25823.5,25811.25,25819,59,
12-12-2025 18:20:00,+05:30,25818.25,25849.5,25818.25,25847,68,
12-12-2025 18:25:00,+05:30,25848.75,25855,25832.5,25832.5,58,
12-12-2025 18:30:00,+05:30,25824,25835.5,25820.25,25827.25,55,
12-12-2025 18:35:00,+05:30,25829.75,25843.75,25827.25,25843.75,25,
12-12-2025 18:40:00,+05:30,25846,25856.25,25846,25847.25,21,
12-12-2025 18:45:00,+05:30,25848.25,25850.25,25843,25846.25,37,
12-12-2025 18:50:00,+05:30,25846.25,25852.25,25844.5,25852.25,38,
12-12-2025 18:55:00,+05:30,25854,25858.75,25843.75,25847.25,58,
12-12-2025 19:00:00,+05:30,25849.75,25849.75,25843.75,25846,27,
12-12-2025 19:05:00,+05:30,25843.25,25846.25,25838,25844.5,62,
12-12-2025 19:10:00,+05:30,25845,25848.5,25842,25842,42,
12-12-2025 19:15:00,+05:30,25842.5,25861,25840.75,25859.5,26,
12-12-2025 19:20:00,+05:30,25861.25,25874.25,25858.75,25865,52,
12-12-2025 19:25:00,+05:30,25868,25885.5,25868,25885.5,113,
12-12-2025 19:30:00,+05:30,25886.25,25890.75,25866.5,25873.25,100,
12-12-2025 19:35:00,+05:30,25874.75,25885.25,25869.75,25877,48,
12-12-2025 19:40:00,+05:30,25876.5,25879.5,25863.75,25863.75,61,
12-12-2025 19:45:00,+05:30,25863.25,25864.25,25848.25,25861.25,65,
12-12-2025 19:50:00,+05:30,25860,25870.75,25856,25856,34,
12-12-2025 19:55:00,+05:30,25850.25,25857.25,25818.5,25818.5,171,
12-12-2025 20:00:00,+05:30,25818,25845,25787.75,25832.25,1905,
12-12-2025 20:05:00,+05:30,25831.75,25879,25821.75,25867.75,532,
12-12-2025 20:10:00,+05:30,25867.5,25872.25,25805.5,25815,669,
12-12-2025 20:15:00,+05:30,25814,25824.75,25763.75,25766.75,331,
12-12-2025 20:20:00,+05:30,25764,25827.75,25761.75,25821.75,277,
12-12-2025 20:25:00,+05:30,25820.25,25826.5,25800,25820,146,
12-12-2025 20:30:00,+05:30,25812.5,25815.75,25739.25,25742.5,415,
12-12-2025 20:35:00,+05:30,25743.25,25756.25,25671.25,25682.25,542,
12-12-2025 20:40:00,+05:30,25685.75,25731,25685.25,25700,412,
12-12-2025 20:45:00,+05:30,25693.25,25711.75,25672,25694,278,
12-12-2025 20:50:00,+05:30,25694.75,25701.75,25629.75,25638.25,411,
12-12-2025 20:55:00,+05:30,25636.75,25640.75,25572.5,25572.5,494,
12-12-2025 21:00:00,+05:30,25576.25,25629.75,25553,25603,784,
12-12-2025 21:05:00,+05:30,25605,25633.75,25580,25620.5,388,
